date,open,high,low,close,volume,timeframe,instrument_type
2025-12-02 12:30:00+05:30,26415.0,26431.9,26405.0,26405.0,5720,15m,FUTURES
2025-12-02 12:45:00+05:30,26405.0,26412.0,26385.0,26393.8,7410,15m,FUTURES
2025-12-02 13:00:00+05:30,26393.8,26402.0,26385.1,26386.0,8060,15m,FUTURES
2025-12-02 13:15:00+05:30,26386.0,26395.5,26379.9,26383.0,8385,15m,FUTURES
2025-12-02 13:30:00+05:30,26383.0,26389.4,26379.0,26379.0,5200,15m,FUTURES
2025-12-02 13:45:00+05:30,26379.0,26410.0,26376.0,26405.7,5720,15m,FUTURES
2025-12-02 14:00:00+05:30,26405.7,26405.7,26387.0,26393.7,5525,15m,FUTURES
2025-12-02 14:15:00+05:30,26393.7,26397.2,26377.0,26386.0,6760,15m,FUTURES
2025-12-02 14:30:00+05:30,26386.0,26386.0,26360.0,26365.0,16315,15m,FUTURES
2025-12-02 14:45:00+05:30,26365.0,26382.2,26361.0,26371.5,8840,15m,FUTURES
2025-12-02 15:00:00+05:30,26371.5,26392.0,26369.9,26385.1,10725,15m,FUTURES
2025-12-02 15:15:00+05:30,26385.1,26408.1,26385.0,26408.1,11115,15m,FUTURES
2025-12-03 09:15:00+05:30,26370.0,26385.8,26290.0,26290.5,39780,15m,FUTURES
2025-12-03 09:30:00+05:30,26290.5,26307.7,26260.9,26270.1,35815,15m,FUTURES
2025-12-03 09:45:00+05:30,26270.1,26283.2,26260.0,26278.9,17355,15m,FUTURES
2025-12-03 10:00:00+05:30,26278.9,26278.9,26231.2,26252.5,36855,15m,FUTURES
2025-12-03 10:15:00+05:30,26252.5,26260.0,26233.5,26242.0,14430,15m,FUTURES
2025-12-03 10:30:00+05:30,26242.0,26253.9,26220.0,26226.5,9035,15m,FUTURES
2025-12-03 10:45:00+05:30,26226.5,26249.4,26226.5,26241.1,5460,15m,FUTURES
2025-12-03 11:00:00+05:30,26241.1,26255.5,26232.4,26245.5,13455,15m,FUTURES
2025-12-03 11:15:00+05:30,26245.5,26250.0,26222.9,26239.0,10465,15m,FUTURES
2025-12-03 11:30:00+05:30,26239.0,26270.2,26238.9,26255.0,9815,15m,FUTURES
2025-12-03 11:45:00+05:30,26255.0,26265.1,26255.0,26257.0,2405,15m,FUTURES
